Id,Id2,Geography,Food Stamps Total,Margin of Error; Total:,Estimate; Household received Food Stamps/SNAP in the past 12 months:,Margin of Error; Household received Food Stamps/SNAP in the past 12 months:,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household received Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months:,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months:,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with 1 or more persons with a disability,Estimate; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability,Margin of Error; Household did not receive Food Stamps/SNAP in the past 12 months: - Households with no persons with a disability
1500000US530330042002,530330042002,"Block Group 2, Census Tract 42, King County, Washington",699,92,72,47,34,38,38,33,627,84,123,84,504,86
1500000US530330042003,530330042003,"Block Group 3, Census Tract 42, King County, Washington",771,97,61,73,45,68,16,24,710,110,97,69,613,109
1500000US530330042004,530330042004,"Block Group 4, Census Tract 42, King County, Washington",550,82,7,15,0,12,7,15,543,82,43,41,500,87
1500000US530330042005,530330042005,"Block Group 5, Census Tract 42, King County, Washington",558,87,14,22,0,12,14,22,544,90,0,12,544,90
1500000US530330043011,530330043011,"Block Group 1, Census Tract 43.01, King County, Washington",484,65,84,55,17,19,67,54,400,72,31,30,369,77
1500000US530330043012,530330043012,"Block Group 2, Census Tract 43.01, King County, Washington",455,69,7,12,7,12,0,12,448,68,45,29,403,71
1500000US530330043013,530330043013,"Block Group 3, Census Tract 43.01, King County, Washington",479,49,18,20,8,13,10,15,461,57,122,47,339,67
1500000US530330043021,530330043021,"Block Group 1, Census Tract 43.02, King County, Washington",619,104,78,64,0,12,78,64,541,103,59,54,482,103
1500000US530330043022,530330043022,"Block Group 2, Census Tract 43.02, King County, Washington",900,119,117,77,30,29,87,79,783,111,144,57,639,105
1500000US530330044001,530330044001,"Block Group 1, Census Tract 44, King County, Washington",394,83,15,23,0,12,15,23,379,80,0,12,379,80
1500000US530330044002,530330044002,"Block Group 2, Census Tract 44, King County, Washington",850,126,31,35,16,25,15,25,819,132,133,101,686,141
1500000US530330044003,530330044003,"Block Group 3, Census Tract 44, King County, Washington",493,101,85,74,14,22,71,70,408,98,44,42,364,107
1500000US530330044004,530330044004,"Block Group 4, Census Tract 44, King County, Washington",771,146,97,58,16,23,81,53,674,144,102,66,572,133
1500000US530330045001,530330045001,"Block Group 1, Census Tract 45, King County, Washington",330,58,11,18,0,12,11,18,319,59,11,18,308,59
1500000US530330045002,530330045002,"Block Group 2, Census Tract 45, King County, Washington",674,59,33,43,33,43,0,12,641,64,74,45,567,74
